track_name,artist_name,year,name,playcount,listeners,genres,artist_popularity,album_name,release_date,duration_ms,track_listeners,ranking_year,track_weight_in_artist,true_rank
All The Good Times Never Die,Leisure,2023,Leisure,7387107,513878,"['indie pop', 'indie', 'electronic', 'downtempo', 'New Zealand']",7387107,N/A,N/A,0.0,20273.0,2023,3.9450998096824534,195
Always,Leisure,2023,Leisure,7387107,513878,"['indie pop', 'indie', 'electronic', 'downtempo', 'New Zealand']",7387107,Always,N/A,207000.0,19953.0,2023,3.882828219927687,196
Ghost,Sigrid,2023,Sigrid,20803710,653738,"['pop', 'norwegian', 'synthpop', 'electropop', 'electronic']",20803710,Ghost,N/A,213000.0,17084.0,2023,2.613279325968507,197
Satama,KUUMAA,2023,KUUMAA,3716352,33363,"['finnish', 'pop', 'male vocalists', 'finland', 'kuumaa']",3716352,Satama,N/A,160000.0,10506.0,2023,31.489973923208343,198
Missio,Bess,2023,Bess,1364240,37698,"['finnish', 'pop', 'finland', 'dance', 'Hip-Hop']",1364240,Missio,N/A,159000.0,7740.0,2023,20.53159318796753,199
Love it,Younite,2023,Younite,1212340,33859,"['k-pop', 'Korean', 'pop', 'boybands', 'korean music']",1212340,BIT Part.2,N/A,202000.0,7081.0,2023,20.913198854071297,200
BIRDS OF A FEATHER,Billie Eilish,2024,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,HIT ME HARD AND SOFT,N/A,183000.0,2164192.0,2024,52.05620609349947,1
Espresso,Sabrina Carpenter,2024,Sabrina Carpenter,627272775,3172298,"['pop', 'female vocalists', 'rnb', 'american', 'my top songs']",627272775,Espresso,N/A,175000.0,2117640.0,2024,66.75413217799841,2
"Good Luck, Babe!",Chappell Roan,2024,Chappell Roan,323368999,2504682,"['pop', 'indie pop', 'synthpop', 'electropop', 'queer']",323368999,"Good Luck, Babe!",N/A,218000.0,2029664.0,2024,81.03479803024895,3
Die with a Smile,Lady Gaga,2024,Lady Gaga,1011759640,7632370,"['pop', 'dance', 'electronic', 'female vocalists', 'female vocalist']",1011759640,Die with a Smile,N/A,251000.0,1733345.0,2024,22.710442496891527,4
Please Please Please,Sabrina Carpenter,2024,Sabrina Carpenter,627272775,3172298,"['pop', 'female vocalists', 'rnb', 'american', 'my top songs']",627272775,Please Please Please,N/A,186000.0,1682762.0,2024,53.04552094412316,5
360,Charli xcx,2024,Charli xcx,697501352,3704686,"['pop', 'synthpop', 'electronic', 'female vocalists', 'Electroclash']",697501352,BRAT,N/A,130000.0,1582875.0,2024,42.72629313253539,6
LUNCH,Billie Eilish,2024,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,HIT ME HARD AND SOFT,N/A,179000.0,1551491.0,2024,37.31865529870252,7
Taste,Sabrina Carpenter,2024,Sabrina Carpenter,627272775,3172298,"['pop', 'female vocalists', 'rnb', 'american', 'my top songs']",627272775,Short n' Sweet [Clean] [Clean],N/A,156000.0,1502778.0,2024,47.371905161494915,8
CHIHIRO,Billie Eilish,2024,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,HIT ME HARD AND SOFT,N/A,303000.0,1499319.0,2024,36.063740584892436,9
Apple,Charli xcx,2024,Charli xcx,697501352,3704686,"['pop', 'synthpop', 'electronic', 'female vocalists', 'Electroclash']",697501352,BRAT,N/A,151000.0,1401866.0,2024,37.840345983438276,10
Von dutch,Charli xcx,2024,Charli xcx,697501352,3704686,"['pop', 'synthpop', 'electronic', 'female vocalists', 'Electroclash']",697501352,Von dutch,N/A,164000.0,1400325.0,2024,37.79875001552088,11
we can't be friends (wait for your love),Ariana Grande,2024,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,eternal sunshine [Clean] [Clean],N/A,227000.0,1354736.0,2024,30.74700271783844,12
Too Sweet,Hozier,2024,Hozier,276486848,3294111,"['blues', 'indie', 'soul', 'singer-songwriter', 'irish']",276486848,Unheard,N/A,251000.0,1343109.0,2024,40.7730340598723,13
Bed Chem,Sabrina Carpenter,2024,Sabrina Carpenter,627272775,3172298,"['pop', 'female vocalists', 'rnb', 'american', 'my top songs']",627272775,Short n' Sweet [Clean] [Clean],N/A,171000.0,1228218.0,2024,38.71698056109483,14
Saturn,SZA,2024,SZA,575399022,3438127,"['rnb', 'soul', 'alternative rnb', 'electronic', 'Neo-Soul']",575399022,Saturn,N/A,186000.0,1167427.0,2024,33.955319277036594,15
"yes, and?",Ariana Grande,2024,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,"yes, and?",N/A,214000.0,1106045.0,2024,25.10272748421214,16
euphoria,Kendrick Lamar,2024,Kendrick Lamar,1010480682,5023800,"['Hip-Hop', 'rap', 'west coast', 'hip hop', 'compton']",1010480682,euphoria,N/A,384000.0,1062131.0,2024,21.1419841554202,17
the boy is mine,Ariana Grande,2024,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,eternal sunshine (slightly deluxe),N/A,173000.0,1028355.0,2024,23.339480149566224,18
NOID,"Tyler, The Creator",2024,"Tyler, The Creator",1027180546,4255100,"['Hip-Hop', 'rap', 'ofwgkta', 'underground hip-hop', 'swag']",1027180546,Noid,N/A,283000.0,1008752.0,2024,23.706892904984606,19
THE GREATEST,Billie Eilish,2024,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,HIT ME HARD AND SOFT,N/A,293000.0,995922.0,2024,23.95532415102273,20
CARNIVAL,¥$,2024,¥$,78492978,1449765,"['Hip-Hop', 'rap', 'hip hop', 'Kanye West', 'trap']",78492978,VULTURES 1,N/A,264000.0,985395.0,2024,67.96929157484144,21
SKINNY,Billie Eilish,2024,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,HIT ME HARD AND SOFT,N/A,219000.0,985051.0,2024,23.693839487720012,22
L’AMOUR DE MA VIE,Billie Eilish,2024,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,N/A,N/A,305000.0,984952.0,2024,23.691458199736662,23
Magnetic,ILLIT,2024,ILLIT,84387757,1111486,"['k-pop', 'Kpop', 'Korean', 'girl group', 'pop']",84387757,SUPER REAL ME,N/A,160000.0,947944.0,2024,85.28618444136949,24
THE DINER,Billie Eilish,2024,Billie Eilish,816132082,4157414,"['pop', 'indie pop', 'electropop', 'art pop', 'alternative']",816132082,HIT ME HARD AND SOFT,N/A,186000.0,897217.0,2024,21.581131924797482,25
CRAZY,LE SSERAFIM,2024,LE SSERAFIM,296166634,1616893,"['k-pop', 'Kpop', 'Korean', 'pop', 'female vocalists']",296166634,CRAZY,N/A,164000.0,871520.0,2024,53.90090748120006,26
intro (end of the world),Ariana Grande,2024,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,eternal sunshine (slightly deluxe),N/A,92000.0,859750.0,2024,19.512831715302166,27
Judge Judy,"Tyler, The Creator",2024,"Tyler, The Creator",1027180546,4255100,"['Hip-Hop', 'rap', 'ofwgkta', 'underground hip-hop', 'swag']",1027180546,Chromakopia,N/A,269000.0,789702.0,2024,18.558952786068485,28
supernatural,Ariana Grande,2024,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,eternal sunshine [Clean] [Clean],N/A,163000.0,785315.0,2024,17.82345965513524,29
bye,Ariana Grande,2024,Ariana Grande,1079846196,4406075,"['pop', 'rnb', 'female vocalists', 'Ariana Grande', 'american']",1079846196,eternal sunshine [Clean] [Clean],N/A,164000.0,782407.0,2024,17.75745987074664,30
I Can Do It with a Broken Heart,Taylor Swift,2024,Taylor Swift,3608500687,5863513,"['country', 'pop', 'female vocalists', 'singer-songwriter', 'acoustic']",3608500687,THE TORTURED POETS DEPARTMENT,N/A,218000.0,776999.0,2024,13.251424529970343,31
Training Season,Dua Lipa,2024,Dua Lipa,314803417,3224232,"['pop', 'synthpop', 'electropop', 'british', 'female vocalists']",314803417,Training Season,N/A,209000.0,772608.0,2024,23.962543638298982,32
make you mine,Madison Beer,2024,Madison Beer,105326464,1638084,"['pop', 'female vocalists', 'rnb', 'indie', 'my top songs']",105326464,Make You Mine,N/A,221000.0,753591.0,2024,46.00441735588651,33
BANDIT,Don Toliver,2024,Don Toliver,255139710,2440803,"['rap', 'trap', 'Hip-Hop', 'rnb', 'texas']",255139710,Bandit,N/A,147000.0,740899.0,2024,30.354723425036763,34
TEXAS HOLD 'EM,Beyoncé,2024,Beyoncé,686725671,6322308,"['rnb', 'pop', 'female vocalists', 'soul', 'Hip-Hop']",686725671,TEXAS HOLD ’EM,N/A,233000.0,722804.0,2024,11.432597083217079,35
So I,Charli xcx,2024,Charli xcx,697501352,3704686,"['pop', 'synthpop', 'electronic', 'female vocalists', 'Electroclash']",697501352,BRAT,N/A,217000.0,718379.0,2024,19.39109009508498,36
It's ok I'm ok,Tate McRae,2024,Tate McRae,268753947,2217123,"['pop', 'my top songs', 'Canadian', 'electropop', 'canada']",268753947,it's ok i'm ok,N/A,156000.0,687159.0,2024,30.993273715531345,37
NEW DROP,Don Toliver,2024,Don Toliver,255139710,2440803,"['rap', 'trap', 'Hip-Hop', 'rnb', 'texas']",255139710,HARDSTONE PSYCHO [Clean] [Clean],N/A,217000.0,686367.0,2024,28.120540658135866,38
I think about it all the time,Charli xcx,2024,Charli xcx,697501352,3704686,"['pop', 'synthpop', 'electronic', 'female vocalists', 'Electroclash']",697501352,BRAT,N/A,143000.0,661648.0,2024,17.859759234655783,39
Houdini,Eminem,2024,Eminem,561177490,7726026,"['rap', 'Hip-Hop', 'hip hop', 'Eminem', 'pop']",561177490,Houdini,N/A,227000.0,653163.0,2024,8.454061635309019,40
BURN,¥$,2024,¥$,78492978,1449765,"['Hip-Hop', 'rap', 'hip hop', 'Kanye West', 'trap']",78492978,VULTURES 1,N/A,111000.0,635704.0,2024,43.84876169586106,41
